Date,Wall110,Wall10100,Wall1001k,Wall1k10k,Wall10k100k,Wall100k,Addr110,Addr10100,Addr1001k,Addr1k10k,Addr10k100k,Addr100k,NetF110,NetF10100,NetF1001k,NetF1k10k,NetF10k100k,NetF100k,AggrNetFlow
20/6/2022,327676,101900,11677,1452,194,13,885332,3609368,2835680,3283874,4771876,3314373,23708.16,-383927.04,2652894.72,1913708.16,-5099552.64,992597.76,-893168.64
21/6/2022,327742,101944,11727,1459,193,13,885565,3611561,2854495,3300897,4742284,3308949,27699.04,260703.84,2236727.2,2023694.24,-3517896.96,-644805.12
22/6/2022,327850,102138,11773,1463,190,13,886138,3618549,2868792,3312234,4627078,3388555,64926.63,791810.28,1619993.07,1284595.47,-13053991.86,9020155.86,1030927.36
23/6/2022,327939,102209,11795,1458,191,13,886243,3620085,2873411,3317453,4645513,3359206,12197.85,178437.12,536589.23,606291.23,2141593.95,-3409473.33,-9292666.41
24/6/2022,328036,102251,11808,1464,190,13,886496,3623245,2876498,3316118,4644561,3355668,28978.62,361946.4,353584.98,-152910.9,-109042.08,-405242.52,3475109.38
25/6/2022,328271,102394,11852,1459,189,14,887154,3625835,2889636,3318356,4640391,3341775,75847.66,298549.3,1514417.26,257974.26,-480675.9,-1601446.11,482557.02
26/6/2022,328416,102453,11863,1452,183,14,887800,3630690,2891748,3285975,4517595,3490056,75194.4,565122,245836.8,-3769148.4,-14293454.4,17259908.4,1666112.58
27/6/2022,328549,102441,11869,1455,183,14,888070,3629240,2893625,3289056,4518738,3485443,31509,-169215,219045.9,359552.7,133388.1,-538337.1,574280.7
28/6/2022,328852,101445,12338, 1445,184,13,889255,3574744,2974376,3268136,4642137,3356509,122256.45,-5622352.32,8331080.67,-2158316.4,12731074.83,-13302120.78,13403743.23
29/6/2022,328660,101371,12323,1449,184,13,888770,3572745,2969276,3257228,4596415,3356289,-50265.4,-207176.36,-528564,-1130505.12,-4738628.08,-22800.8,-6655138.96
30/6/2022,328852,101532,12156,1427,187,13,889381,3585785,2951490,3187926,4648826,3443569,60990.02,1301652.8,-1775398.52,-6917725.64,5231666.02,8712289.6,-2098815.32
1/7/2022,328801,101764,12033,1447,187,13,889722,3593653,2936949,3233235,4648850,3405427,34584.22,797972.56,-1474748.22,4595238.78,2434.08,-3868361.64,3955481.42
2/7/2022,329187,101924,12033,1448,183,13,890853,3599891,2940682,3245659,4623457,3408861,120428.88,664222.24,397489.84,1322907.52,-2703846.64,365652.32,-198798.16
3/7/2022,329379,102028,12039,1449,182,13,891407,3602547,2943197,3247510,4613005,3412474,58491.32,280420.48,265533.7,195428.58,-1103522.16,381460.54,-303648.08
4/7/2022,329547,102082,12018,1461,181,13,891899,3604178,2932701,3283338,4609526,3388923,53199.96,176360.03,-1134932.48,3874081.64,-376184.27,-2546569.63,2592524.88
5/7/2022,329646,102122,12043,1461,181,13,892319,3604952,2943493,3282322,4611089,3377043,43814.4,80743.68,1125821.44,-105989.12,163052.16,-1239321.6,1307442.56
6/7/2022,329650,102236,12021,1463,180,13,892158,3611843,2940536,3281690,4603077,3382538,-16813.23,719627.13,-308799.51,-65999.76,-836693.16,573842.85,-508678.53
7/7/2022,329720,102394,12012,1461,180,13,892348,3617374,2938220,3283682,4611289,3369650,19893,579095.7,-242485.2,208562.4,859796.4,-1349373.6,1424862.3
