Date,Price,CoinsHeld,Addresses
17/4/2022,328.70,3659164,105454
18/4/2022,340.02,3660460,105467
19/4/2022,340.40,3659164,105454
20/4/2022,330.72,3659164,105454
21/4/2022,315.88,3659164,105454
22/4/2022,320.97,3659164,105454
23/4/2022,313.45,3656909,105495
24/4/2022,308.14,3656909,105495
25/4/2022,314.77,3656909,105495
26/4/2022,295.91,3666948,105683
27/4/2022,307.33,3668430,105645
28/4/2022,306.73,3671082,105785
29/4/2022,294.71,3671151,105758
30/4/2022,278.67,3663624,105488
1/5/2022,284.41,3666544,105572
2/5/2022,285.09,3665015,105307
3/5/2022,279.48,3664760,104967
4/5/2022,299.86,3661658,104535
5/5/2022,277.29,3661663,104604
6/5/2022,274.98,3652756,104203
7/5/2022,268.71,3652817,104189
8/5/2022,261.52,3645512,104011
