Date,Price,CoinsHeld,Addresses
17/4/2022,328.70,4916530,193
18/4/2022,340.02,4911940,193
19/4/2022,340.40,4916530,193
20/4/2022,330.72,4916530,193
21/4/2022,315.88,4916530,193
22/4/2022,320.97,4916530,193
23/4/2022,313.45,4871154,191
24/4/2022,308.14,4871154,191
25/4/2022,314.77,4871154,191
26/4/2022,295.91,4845341,188
27/4/2022,307.33,4854899,188
28/4/2022,306.73,4804449,187
29/4/2022,294.71,4791312,186
30/4/2022,278.67,4836971,187
1/5/2022,284.41,4827885,187
2/5/2022,285.09,4824817,187
3/5/2022,279.48,4831776,188
4/5/2022,299.86,4841493,188
5/5/2022,277.29,4867120,188
6/5/2022,274.98,4754189,182
7/5/2022,268.71,4753599,182
8/5/2022,261.52,4777377,182
9/5/2022,231.52,4756681,181
